Table,Column,Total Rows,Non-null Count,Completeness (%)
award_winners,key_id,132,132,100.0
award_winners,tournament_id,132,132,100.0
award_winners,tournament_name,132,132,100.0
award_winners,award_id,132,132,100.0
award_winners,award_name,132,132,100.0
award_winners,shared,132,132,100.0
award_winners,player_id,132,132,100.0
award_winners,family_name,132,132,100.0
award_winners,given_name,132,132,100.0
award_winners,team_id,132,132,100.0
award_winners,team_name,132,132,100.0
award_winners,team_code,132,132,100.0
awards,key_id,8,8,100.0
awards,award_id,8,8,100.0
awards,award_name,8,8,100.0
awards,award_description,8,8,100.0
awards,year_introduced,8,8,100.0
bookings,key_id,2466,2466,100.0
bookings,booking_id,2466,2466,100.0
bookings,tournament_id,2466,2466,100.0
bookings,tournament_name,2466,2466,100.0
bookings,match_id,2466,2466,100.0
bookings,match_name,2466,2466,100.0
bookings,match_date,2466,2466,100.0
bookings,stage_name,2466,2466,100.0
bookings,group_name,2466,2466,100.0
bookings,team_id,2466,2466,100.0
bookings,team_name,2466,2466,100.0
bookings,team_code,2466,2466,100.0
bookings,home_team,2466,2466,100.0
bookings,away_team,2466,2466,100.0
bookings,player_id,2466,2466,100.0
bookings,family_name,2466,2466,100.0
bookings,given_name,2466,2466,100.0
bookings,shirt_number,2466,2466,100.0
bookings,minute_label,2466,2466,100.0
bookings,minute_regulation,2466,2466,100.0
bookings,minute_stoppage,2466,2466,100.0
bookings,match_period,2466,2466,100.0
bookings,yellow_card,2466,2466,100.0
bookings,red_card,2466,2466,100.0
bookings,second_yellow_card,2466,2466,100.0
bookings,sending_off,2466,2466,100.0
confederations,key_id,6,6,100.0
confederations,confederation_id,6,6,100.0
confederations,confederation_name,6,6,100.0
confederations,confederation_code,6,6,100.0
confederations,confederation_wikipedia_link,6,6,100.0
goals,key_id,2548,2548,100.0
goals,goal_id,2548,2548,100.0
goals,tournament_id,2548,2548,100.0
goals,tournament_name,2548,2548,100.0
goals,match_id,2548,2548,100.0
goals,match_name,2548,2548,100.0
goals,match_date,2548,2548,100.0
goals,stage_name,2548,2548,100.0
goals,group_name,2548,2548,100.0
goals,team_id,2548,2548,100.0
goals,team_name,2548,2548,100.0
goals,team_code,2548,2548,100.0
goals,home_team,2548,2548,100.0
goals,away_team,2548,2548,100.0
goals,player_id,2548,2548,100.0
goals,family_name,2548,2548,100.0
goals,given_name,2548,2548,100.0
goals,shirt_number,2548,2548,100.0
goals,player_team_id,2548,2548,100.0
goals,player_team_name,2548,2548,100.0
goals,player_team_code,2548,2548,100.0
goals,minute_label,2548,2548,100.0
goals,minute_regulation,2548,2548,100.0
goals,minute_stoppage,2548,2548,100.0
goals,match_period,2548,2548,100.0
goals,own_goal,2548,2548,100.0
goals,penalty,2548,2548,100.0
group_standings,key_id,458,458,100.0
group_standings,tournament_id,458,458,100.0
group_standings,tournament_name,458,458,100.0
group_standings,stage_number,458,458,100.0
group_standings,stage_name,458,458,100.0
group_standings,group_name,458,458,100.0
group_standings,position,458,458,100.0
group_standings,team_id,458,458,100.0
group_standings,team_name,458,458,100.0
group_standings,team_code,458,458,100.0
group_standings,played,458,458,100.0
group_standings,wins,458,458,100.0
group_standings,draws,458,458,100.0
group_standings,losses,458,458,100.0
group_standings,goals_for,458,458,100.0
group_standings,goals_against,458,458,100.0
group_standings,goal_difference,458,458,100.0
group_standings,points,458,458,100.0
group_standings,advanced,458,458,100.0
groups,key_id,117,117,100.0
groups,tournament_id,117,117,100.0
groups,tournament_name,117,117,100.0
groups,stage_number,117,117,100.0
groups,stage_name,117,117,100.0
groups,group_name,117,117,100.0
groups,count_teams,117,117,100.0
host_countries,key_id,22,22,100.0
host_countries,tournament_id,22,22,100.0
host_countries,tournament_name,22,22,100.0
host_countries,team_id,22,22,100.0
host_countries,team_name,22,22,100.0
host_countries,team_code,22,22,100.0
host_countries,performance,22,22,100.0
manager_appearances,key_id,1842,1842,100.0
manager_appearances,tournament_id,1842,1842,100.0
manager_appearances,tournament_name,1842,1842,100.0
manager_appearances,match_id,1842,1842,100.0
manager_appearances,match_name,1842,1842,100.0
manager_appearances,match_date,1842,1842,100.0
manager_appearances,stage_name,1842,1842,100.0
manager_appearances,group_name,1842,1842,100.0
manager_appearances,team_id,1842,1842,100.0
manager_appearances,team_name,1842,1842,100.0
manager_appearances,team_code,1842,1842,100.0
manager_appearances,home_team,1842,1842,100.0
manager_appearances,away_team,1842,1842,100.0
manager_appearances,manager_id,1842,1842,100.0
manager_appearances,family_name,1842,1842,100.0
manager_appearances,given_name,1842,1842,100.0
manager_appearances,country_name,1842,1842,100.0
manager_appointments,key_id,469,469,100.0
manager_appointments,tournament_id,469,469,100.0
manager_appointments,tournament_name,469,469,100.0
manager_appointments,team_id,469,469,100.0
manager_appointments,team_name,469,469,100.0
manager_appointments,team_code,469,469,100.0
manager_appointments,manager_id,469,469,100.0
manager_appointments,family_name,469,469,100.0
manager_appointments,given_name,469,469,100.0
manager_appointments,country_name,469,469,100.0
managers,key_id,357,357,100.0
managers,manager_id,357,357,100.0
managers,family_name,357,357,100.0
managers,given_name,357,357,100.0
managers,country_name,357,357,100.0
managers,manager_wikipedia_link,357,357,100.0
matches,key_id,900,900,100.0
matches,tournament_id,900,900,100.0
matches,tournament_name,900,900,100.0
matches,match_id,900,900,100.0
