Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-1930-01,4,1,Accurate
M-1930-02,3,0,Accurate
M-1930-03,2,1,Accurate
M-1930-04,3,1,Accurate
M-1930-05,1,0,Accurate
M-1930-06,3,0,Accurate
M-1930-07,4,0,Accurate
M-1930-08,3,0,Accurate
M-1930-09,1,0,Accurate
M-1930-10,1,0,Accurate
M-1930-11,6,3,Inaccurate
M-1930-12,4,0,Accurate
M-1930-13,1,0,Accurate
M-1930-14,4,0,Accurate
M-1930-15,3,1,Accurate
M-1930-16,6,1,Inaccurate
M-1930-17,6,1,Inaccurate
M-1930-18,4,2,Accurate
M-1934-01,3,2,Accurate
M-1934-02,2,1,Accurate
M-1934-03,5,2,Accurate
M-1934-04,4,2,Accurate
M-1934-05,7,1,Inaccurate
M-1934-06,3,1,Accurate
M-1934-07,3,2,Accurate
M-1934-08,3,2,Accurate
M-1934-09,2,1,Accurate
M-1934-10,3,2,Accurate
M-1934-11,2,1,Accurate
M-1934-12,1,1,Accurate
M-1934-13,1,0,Accurate
M-1934-14,3,1,Accurate
M-1934-15,1,0,Accurate
M-1934-16,3,2,Accurate
M-1934-17,2,1,Accurate
M-1938-01,1,1,Accurate
M-1938-02,3,3,Accurate
M-1938-03,3,1,Accurate
M-1938-04,6,0,Inaccurate
M-1938-05,2,1,Accurate
M-1938-06,6,5,Inaccurate
M-1938-07,3,0,Accurate
M-1938-08,2,1,Accurate
M-1938-09,4,2,Accurate
M-1938-10,1,1,Accurate
M-1938-11,2,0,Accurate
M-1938-12,3,1,Accurate
M-1938-13,8,0,Inaccurate
M-1938-14,2,1,Accurate
M-1938-15,5,1,Accurate
M-1938-16,2,1,Accurate
M-1938-17,4,2,Accurate
M-1938-18,4,2,Accurate
M-1950-01,4,0,Accurate
M-1950-02,3,0,Accurate
M-1950-03,2,0,Accurate
M-1950-04,3,1,Accurate
M-1950-05,3,2,Accurate
M-1950-06,2,2,Accurate
M-1950-07,4,1,Accurate
M-1950-08,2,0,Accurate
M-1950-09,1,0,Accurate
M-1950-10,2,2,Accurate
M-1950-11,2,0,Accurate
M-1950-12,5,2,Accurate
M-1950-13,1,0,Accurate
M-1950-14,2,0,Accurate
M-1950-15,8,0,Inaccurate
M-1950-16,2,1,Accurate
M-1950-17,7,1,Inaccurate
M-1950-18,2,2,Accurate
M-1950-19,6,1,Inaccurate
M-1950-20,3,2,Accurate
M-1950-21,3,1,Accurate
M-1950-22,2,1,Accurate
M-1954-01,5,0,Accurate
M-1954-02,1,0,Accurate
M-1954-03,1,0,Accurate
M-1954-04,2,0,Accurate
M-1954-05,2,1,Accurate
M-1954-06,9,0,Inaccurate
M-1954-07,4,1,Accurate
M-1954-08,4,4,Accurate
M-1954-09,7,0,Inaccurate
M-1954-10,1,1,Accurate
M-1954-11,5,0,Accurate
M-1954-12,3,2,Accurate
M-1954-13,8,3,Inaccurate
M-1954-14,7,0,Inaccurate
M-1954-15,4,1,Accurate
M-1954-16,2,0,Accurate
M-1954-17,7,2,Inaccurate
M-1954-18,4,1,Accurate
M-1954-19,7,5,Inaccurate
M-1954-20,4,2,Accurate
M-1954-21,4,2,Accurate
M-1954-22,2,0,Accurate
M-1954-23,4,2,Accurate
