Table,Primary Key,Total Rows,Unique Rows,Uniqueness (%)
award_winners,key_id,132,132,100.0
awards,award_id,8,8,100.0
bookings,key_id,2466,2466,100.0
confederations,confederation_id,6,6,100.0
goals,key_id,2548,2548,100.0
group_standings,key_id,458,458,100.0
groups,key_id,117,117,100.0
host_countries,key_id,22,22,100.0
manager_appearances,key_id,1842,1842,100.0
manager_appointments,key_id,469,469,100.0
managers,manager_id,357,357,100.0
matches,match_id,900,900,100.0
penalty_kicks,key_id,279,279,100.0
player_appearances,key_id,18623,18623,100.0
players,player_id,7907,7907,100.0
qualified_teams,key_id,457,457,100.0
referee_appearances,key_id,900,900,100.0
referee_appointments,key_id,511,511,100.0
referees,referee_id,380,380,100.0
squads,key_id,10142,10142,100.0
stadiums,stadium_id,185,185,100.0
substitutions,substitution_id,6464,6464,100.0
team_appearances,key_id,1800,1800,100.0
teams,team_id,84,84,100.0
tournament_stages,key_id,107,107,100.0
tournament_standings,key_id,84,84,100.0
tournaments,tournament_id,21,21,100.0
